Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,EUU,32939.9954041609,35721.5322112679,33159.1110060226,34563.7426260981,35242.190744832296,30469.6243901071,31172.2286448947,33080.9186444207,35733.7160011367,34918.498374970695
Fragile and conflict affected situations,FCS,2207.7721105351898,2188.8106938673604,2467.64630373323,2530.41235439061,2694.56371779599,2364.2476966087697,2075.8999744813896,2055.5736037493302,2175.9365406788,2228.2552446227696
Finland,FIN,46459.973254854296,51081.997670312696,47710.7902169415,49878.043244453605,50260.2998588958,42784.6983616432,43784.283962209796,46336.663253012695,50030.877310650096,48782.7884755091
Fiji,FJI,3652.52743714193,4371.45751012411,4591.55578402956,4840.69371615802,5605.5703563549,5390.74525792812,5651.31805482702,6101.0308386649795,6317.4878527697,6175.88872032104
France,FRA,40638.33400426,43790.7320482019,40874.7035053457,42592.934094334196,43011.2631028417,36638.184929157,37037.3741861219,38812.161034168195,41631.0907389044,40493.9285720456
Faroe Islands,FRO,48530.2338492813,52083.889144836394,49459.7172338372,54853.6255967876,59440.0307606004,52404.6593331379,56854.102653705995,60108.4666887359,64269.704254102806,
"Micronesia, Fed. Sts.",FSM,2885.44567636113,3009.19864668922,3131.38671463839,2994.6793044200704,2971.45729017367,2906.37678497635,3014.7003583904198,3289.7011457127696,3568.291015625,
Gabon,GAB,8849.355299715071,10809.646450590899,9813.477702824399,9683.576290286741,9663.42923977641,7384.71587003183,6984.45101873395,7230.396392684259,7956.6278155868595,7767.0134044078795
United Kingdom,GBR,39435.8399018505,42038.572250193,42462.771568145,43444.533001954,47425.6076805194,44974.8318771782,41064.1334316223,40361.4173832159,43043.227816455095,42330.117537005
Georgia,GEO,3233.29594347421,4021.7433061728602,4421.818242280129,4623.74572473419,4739.188338464211,4014.1859441932897,4062.1698875737898,4357.00093554628,4722.78778321766,4697.7045759469
Ghana,GHA,1299.3449494603901,1549.4629019294598,1587.5612371999698,2345.39290574885,1971.0333467541102,1743.8509964087,1931.38947036943,2025.9324238675101,2202.31216442504,2202.11556738065
Gibraltar,GIB,,,,,,,,,,
Guinea,GIN,672.424402562443,651.135363533047,717.050737885584,769.003943268326,787.23807021997,769.2560137460159,732.291075213299,855.573639877367,878.599613250501,962.839908587778
"Gambia, The",GMB,860.637873688125,762.7610541311591,742.781137796627,700.514971960668,607.428404115004,660.723571244322,690.778886042938,679.7569139658281,732.717513775219,777.811932084008
Guinea-Bissau,GNB,558.176134508158,703.663718670535,616.376432113543,634.6628092397959,623.310881630911,603.4011182466929,661.456725387231,738.5499448907821,778.349910210043,697.294926856786
Equatorial Guinea,GNQ,17288.8595992193,21641.8705192127,21711.1532298542,20390.7193153023,19394.0299929972,11283.46560612,9250.33195308226,9667.912251730459,10144.1958108456,8131.92388810912
